MWnum,haloId,Mgal,Mhalo,zmerge,Rapomed,RapoIQR,eccmed,eccIQR,agemed,ageIQR,FeHmed,FeHIQR,Lzmed,LzIQR,Emed,EIQR,Enormmed,EnormIQR,Ngc
0,100829,74421441.3642,11244582904.7,0.18271,68.4746,0.0,0.776178,0.0,11.7269763322,0.0,-1.28363,0.0,3046.61157464,0.0,-44068.9191776,0.0,-0.596154637659,0.0,1
0,100306,9400819.81566,6400926707.33,0.365669,145.3377,79.6453,0.6833715,0.2789335,12.0655015247,0.147750010603,-2.244655,0.068295,-1594.06256218,2768.550985,-27264.734132,5842.00801497,-0.3688313215,0.0790293984143,2
0,99375,12597126.4157,4811657289.5,0.73563,65.25295,2.15675,0.2356895,0.0651245,11.5398129487,0.00801290704209,-1.977465,0.021495,-1019.85224134,1095.76744958,-35327.9001896,985.447227013,-0.477908056967,0.0133309131587,2
0,97736,351745241.139,32187144946.6,1.004122,24.7651,29.794375,0.709924,0.24808575,11.0759914427,0.793812452863,-1.22918,0.4674875,1523.29193846,3186.53820044,-56355.8177991,25124.85007,-0.762369097473,0.339883440966,20
0,98052,212060776.0,47341493514.0,1.004122,34.31075,18.177275,0.3990715,0.10265575,11.0705659032,0.0556311082611,-1.418995,0.220285,3099.47142169,2553.96610744,-48802.7561043,19943.4756145,-0.660192941535,0.269790947918,10
0,96292,754032232.9,85002784622.1,1.486707,25.69305,22.847775,0.749178,0.14716325,11.518514954,0.693344119589,-1.64228,0.6371725,272.641764161,1351.09389525,-62428.9946123,15547.1590688,-0.844525696502,0.210318545457,22
0,97064,15094719.4886,11084588805.0,1.486707,38.8618,0.0,0.587197,0.0,11.8192553867,0.0,-1.22485,0.0,2925.32748467,0.0,-54447.0107779,0.0,-0.736547176279,0.0,1
0,94573,4244686.95378,2772036169.74,2.478413,13.8243,0.0,0.583573,0.0,12.6154753087,0.0,-2.26622,0.0,363.825004934,0.0,-68285.0354806,0.0,-0.923744928267,0.0,1
0,93636,5581206.39473,732414830.095,5.971162,9.93794,0.0,0.563307,0.0,13.0676816547,0.0,-1.85373,0.0,453.840938983,0.0,-81885.2830722,0.0,-1.10772608384,0.0,1
1,6826,100742380.473,15943421891.1,0.503107,38.0206,13.2995,0.592135,0.1470015,10.9108841989,0.503961231581,-1.93551,0.5622975,-1032.1536831,1259.41033371,-54160.1727074,11079.5697797,-0.690215042157,0.141197587458,4
1,6421,4007362.11526,5473789078.87,0.61519,42.0102,0.0,0.568494,0.0,13.1169119844,0.0,-2.0639,0.0,2397.0687017,0.0,-51602.7136369,0.0,-0.657622887591,0.0,1
1,4588,974937879.847,98328465853.9,0.865051,27.022,25.13085,0.867271,0.1250635,10.4786985321,1.47100284026,-1.01471,0.6350115,54.346277326,380.852179124,-67086.4161552,18644.9803681,-0.85494656387,0.237610872851,51
1,5538,101248506.263,17527063740.4,0.865051,50.1778,11.0385,0.867037,0.1239375,12.9303734632,0.247206554642,-1.97195,0.215995,-18.5861176864,1826.22578975,-49339.2436906,5498.54869402,-0.62877731849,0.0700732813233,3
1,2051,145665914.264,26111068390.7,1.736966,20.2967,6.13125,0.736327,0.143248,11.2027648687,1.02919663293,-1.36993,0.407295,46.9316544494,362.925003906,-76832.1180152,9581.37269228,-0.979145392711,0.1221046246,11
1,1200,55820997.3674,14066116567.5,2.478413,27.8409,19.056425,0.7986495,0.120376,12.5627089684,0.139106966966,-1.96197,0.157285,-344.53881505,782.95075089,-71229.2460739,11238.2045547,-0.90774262016,0.14321922259,4
