Name,M_Vt,Mass,e_Mass,Age_FB10,error_FB10,[Fe/H]_FB10,Age_D11,error_D11,[Fe/H]_D11,Age_V13,error_V13,[Fe/H]_V13,Rgc,Rper,e_Rper,Rapo,e_Rapo,Lz,e_Lz,prog
NGC 104,-9.42,807000.0,5270.0,13.06,0.9,-0.78,12.75,0.5,-0.7,11.75,0.25,-0.76,7.4,5.46,0.01,7.44,0.01,1275.592,4.117,M-D
NGC 288,-6.75,98400.0,2820.0,10.62,0.51,-1.14,12.5,0.5,-1.4,11.5,0.38,-1.32,12.0,3.33,0.49,13.01,0.25,-661.346,3.45,G-E
NGC 362,-8.43,336000.0,4900.0,10.37,0.51,-1.09,11.5,0.5,-1.3,10.75,0.25,-1.3,9.4,1.05,0.21,12.48,0.41,40.487,18.404,G-E
NGC 1261,-7.8,193000.0,16200.0,10.24,0.51,-1.08,11.5,0.5,-1.35,10.75,0.25,-1.27,18.1,1.41,0.36,19.93,1.66,-171.351,72.087,G-E
NGC 1851,-8.33,281000.0,3910.0,9.98,0.51,-1.03,nan,nan,nan,11.0,0.25,-1.18,16.6,0.83,0.05,19.13,0.22,-41.218,14.828,G-E
NGC 1904,-7.86,156000.0,8740.0,11.14,0.9,-1.37,nan,nan,nan,nan,nan,nan,18.8,0.82,0.33,19.49,1.13,63.389,41.714,G-E
NGC 2298,-6.31,57200.0,11800.0,12.67,0.64,-1.71,13.0,1.0,-1.9,nan,nan,nan,15.8,1.86,0.78,17.74,1.22,-554.75,89.54,G-E
NGC 2419,-9.42,1430000.0,197000.0,12.3,1.0,-2.14,13.0,1.0,-2.0,nan,nan,nan,89.9,16.52,2.68,90.96,7.66,3108.719,585.392,Sagittarius
NGC 2808,-9.39,869000.0,6170.0,10.8,0.38,-1.11,nan,nan,nan,11.0,0.38,-1.18,11.1,0.97,0.02,14.72,0.12,332.151,8.582,G-E
NGC 3201,-7.45,141000.0,3370.0,10.24,0.38,-1.24,12.0,0.75,-1.5,11.5,0.38,-1.51,8.8,8.15,0.09,23.54,1.21,-2586.997,38.963,Seq/G-E
NGC 4147,-6.17,37600.0,9030.0,11.39,0.51,-1.5,12.75,0.75,-1.7,12.25,0.25,-1.78,21.4,1.92,0.77,24.57,2.52,64.54,20.496,G-E
