NGC,NGCerr,logMGC,logMGCerr,logMhalo,logMs,T,dMpc,MVT,Name

    150.,    40.,    7.570,     0.103,    12.245,    10.648,    2,   13.18,  -20.18,  NGC7814        
     36.,    15.,    6.870,     0.151,    11.292,     9.350,    5,    2.09,  -18.77,  NGC55          
     10.,     2.,    6.160,     0.079,    10.614,     8.228,   -5,    0.76,  -15.46,  NGC147         
      8.,     1.,    6.070,     0.051,    10.632,     8.259,   -5,    0.63,  -15.40,  NGC185         
     11.,     3.,    6.260,     0.105,    10.964,     8.811,   -5,    0.80,  -16.66,  NGC205         
     60.,    30.,    7.090,     0.176,    11.312,     9.382,    5,    3.72,  -18.80,  NGC247         
     90.,    40.,    7.390,     0.160,    12.365,    10.745,    5,    3.54,  -21.01,  NGC253         
     70.,    30.,    7.140,     0.155,    11.241,     9.267,    6,    1.98,  -18.40,  NGC300         
     85.,    24.,    7.260,     0.108,    11.474,     9.641,    5,   20.60,  -19.14,  NGC406         
    609.,    94.,    8.220,     0.062,    12.352,    10.736,   -2,   29.51,  -20.97,  NGC474         
   3300.,  1000.,    9.010,     0.115,    13.136,    11.158,    0,   23.13,  -21.85,  NGC524         
   1620.,   450.,    8.730,     0.106,    12.827,    11.015,   -2,   73.10,  -22.39,  NGC541         
    500.,   200.,    8.150,     0.146,    12.594,    10.893,   -5,   20.14,  -21.18,  NGC584         
     50.,    20.,    7.030,     0.146,    11.329,     9.409,    6,    0.82,  -19.00,  NGC598         
   4700.,  1000.,    9.180,     0.084,    13.308,    11.234,   -4,   47.07,  -22.13,  NGC708         
   1490.,   100.,    8.320,     0.028,    13.345,    11.250,   -5,   27.67,  -22.08,  NGC720         
      5.,     2.,    6.000,     0.146,    10.786,     8.515,    7,    5.45,  -16.87,  NGC784         
    320.,    45.,    7.970,     0.057,    12.575,    10.881,   -5,   23.38,  -21.53,  NGC821         
     70.,    20.,    7.310,     0.109,    12.486,    10.828,    3,    8.36,  -21.40,  NGC891         
   4245.,  1100.,    9.140,     0.100,    13.493,    11.314,   -5,   71.40,  -22.29,  NGC910         
    550.,    60.,    8.140,     0.045,    12.543,    10.863,   -2,   11.43,  -21.14,  NGC1023        
    400.,    45.,    8.040,     0.046,    12.533,    10.857,   -5,   19.35,  -21.05,  NGC1052        
    210.,    40.,    7.780,     0.076,    12.634,    10.915,    3,   19.00,  -21.30,  NGC1055        
   3613.,   295.,    9.100,     0.034,    13.997,    11.533,   -5,   96.09,  -22.76,  NGC1132        
    365.,    25.,    7.940,     0.029,    11.875,    10.233,   -5,   21.48,  -20.01,  NGC1172        
    230.,    80.,    7.790,     0.130,    12.407,    10.775,   -3,   20.23,  -20.86,  NGC1201        
      7.,     4.,    6.210,     0.196,    11.366,     9.469,    6,    4.16,  -19.75,  NGC1313        
      4.,     2.,    5.880,     0.176,    10.566,     8.149,    9,    5.45,  -15.76,  NGC1311        
   1000.,   500.,    8.570,     0.176,    14.203,    11.632,   -2,   21.09,  -23.16,  NGC1316        
     29.,     9.,    6.610,     0.117,    11.436,     9.581,   -3,   19.23,  -18.31,  IC1919         
   1000.,   500.,    8.470,     0.176,    13.040,    11.115,   -2,   22.91,  -21.62,  NGC1332        
    276.,   100.,    7.780,     0.134,    11.641,     9.898,   -5,   18.74,  -19.14,  NGC1336        
     37.,    15.,    6.870,     0.148,    11.449,     9.601,   -2,   19.18,  -18.43,  ESO-358-G06    
    231.,    80.,    7.740,     0.129,    11.999,    10.390,   -5,   20.38,  -20.01,  NGC1339        
    464.,    44.,    7.900,     0.039,    12.483,    10.826,   -5,   20.03,  -21.18,  NGC1344        
     16.,     8.,    6.470,     0.176,    11.186,     9.176,    5,   19.90,  -17.87,  NGC1345        
    274.,    90.,    7.870,     0.123,    12.435,    10.795,   -5,   31.57,  -20.96,  NGC1351        
     21.,     7.,    6.590,     0.125,    11.297,     9.358,   -2,   19.73,  -17.88,  FCC-95         
      7.,     3.,    6.070,     0.155,    10.711,     8.391,    9,    6.40,  -16.81,  IC1959         
     25.,     8.,    6.670,     0.121,    11.249,     9.280,   -5,   19.68,  -17.87,  FCC-136        
    360.,    19.,    7.960,     0.022,    12.153,    10.561,   -5,   19.64,  -20.43,  NGC1374        
     86.,    30.,    7.270,     0.130,    11.660,     9.926,   -2,   20.02,  -19.16,  NGC1375        
     60.,    20.,    7.130,     0.125,    11.865,    10.220,   -2,   20.78,  -19.55,  ESO-358-G26    
     16.,     5.,    6.510,     0.118,    11.392,     9.510,    0,   18.00,  -18.49,  ESO-358-G25    
    225.,    23.,    7.770,     0.042,    12.171,    10.579,   -5,   20.04,  -20.64,  NGC1379        
    424.,   100.,    8.100,     0.092,    12.850,    11.026,    0,   18.86,  -21.51,  NGC1380        
     71.,    25.,    7.230,     0.131,    12.003,    10.396,   -2,   18.78,  -19.91,  NGC1381        
     70.,    25.,    7.160,     0.133,    11.607,     9.847,   -2,   16.89,  -18.78,  NGC1380A       
     59.,    20.,    7.030,     0.127,    11.259,     9.296,   -2,   19.57,  -17.57,  FCC-182        
    390.,    27.,    8.020,     0.029,    12.505,    10.840,   -3,   19.82,  -20.84,  NGC1387        
    156.,    50.,    7.510,     0.121,    11.658,     9.924,   -2,   22.02,  -18.85,  NGC1380B       
     48.,    16.,    7.070,     0.125,    12.028,    10.425,   -2,   20.87,  -20.13,  NGC1389        
     30.,    10.,    6.700,     0.125,    10.983,     8.842,   -5,   20.69,  -16.93,  ESO-358-G42    
   6000.,   700.,    9.280,     0.048,    13.462,    11.301,   -5,   20.68,  -22.03,  NGC1399        
    770.,   140.,    8.360,     0.073,    13.029,    11.110,   -5,   20.43,  -21.59,  NGC1404        
   2960.,   958.,    8.930,     0.122,    12.691,    10.946,   -2,   26.42,  -21.36,  NGC1400        
   7000.,  2000.,    9.400,     0.109,    13.984,    11.527,   -2,   28.84,  -22.86,  NGC1407        
    155.,    50.,    7.520,     0.121,    11.644,     9.903,   -5,   20.15,  -18.97,  NGC1419        
     80.,    25.,    7.210,     0.118,    11.528,     9.726,   -2,   19.97,  -18.59,  ESO-358-G50    
    500.,    60.,    8.120,     0.049,    12.250,    10.652,   -5,   20.52,  -20.74,  NGC1427        
    240.,    20.,    7.790,     0.035,    12.152,    10.561,   -5,   24.10,  -20.58,  NGC1426        
